Product,Image,Brand,Processor,RAM,Hard disk,SSD,Graphic card,Operating system,Resolution,Dimensions(mm),Weight(kg),Battery life,Price
"Asus Rog Strix GL503VM-FY166T Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546453763_635_asus_rog-strix-gl503vm-fy166t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i7 7th Gen 7700HQ,16GB,No,128GB,Nvidia GeForce GTX 1060,Windows 10 Home,1920x1080 pixels,384.00 x 262.00 x 23.00,2.6,,"₹ 139,990"
,https://i.gadgets360cdn.com/products/laptops/large/1546455662_635_asus_vivobook-r558uq-dm970d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i7 7th Gen 7500U,8GB,1TB,No,Nvidia GeForce 940MX,DOS,1920x1080 pixels,382.00 x 256.00 x 25.50,2.3,,
"HP EliteBook 840 G3 Laptop (Windows 7, 4GB RAM, 256GB HDD, Intel Core i5, Silver, 14.0 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525206076_635_elitebook-840-g3.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i5 6th Gen 6200U,4GB,No,256GB,AMD R5 M230,Windows 7 Professional,1366x768 pixels,338.00 x 237.00 x 18.90,1.48,,"₹ 99,340"
"Acer Aspire A315-21G Laptop (Linux, 4GB RAM, 500GB HDD, Intel Core i3, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546454420_635_acer_aspire-a315-21g.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,Intel Core i3 N3350,4GB,500GB,No,Intel Integrated HD Graphics,Linux,1366x768 pixels,381.60 x 259.00 x 21.60,2.1,6.0,"₹ 25,490"
"HP Spectre X360 13-AC059TU Laptop (Windows 10, 16GB RAM, 512GB HDD, Intel Core i7, Grey, 13.3 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525207867_635_spectre-x360-13-ac059tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i7 7th Gen 7500U,8GB,No,512GB,Intel HD Graphics 620,Windows 10 Professional,1920x1080 pixels,306.60 x 217.90 x 14.00,1.32,,"₹ 145,990"
"Dell Inspiron 15 5558 Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546453900_635_dell_inspiron-15-5558.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Dell,Intel Core i5 5th Gen 5200U,8GB,1TB,No,Intel Integrated HD Graphics 5500,Windows 10 Home,1366x768 pixels,345.00 x 243.00 x 23.35,2.0,,"₹ 37,900"
"HP 15-BE002TU Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Pentium, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546452958_635_hp_15-be002tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Pentium Dual Core N3710,4GB,No,No,Intel Integrated HD Graphics 405,DOS,1366x768 pixels,384.30 x 254.60 x 24.30,2.19,,"₹ 22,990"
,https://i.gadgets360cdn.com/products/laptops/large/1525206022_635_zenbook-ux303ub-r4013t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i5 6th Gen 6200U,8GB,1TB,No,Nvidia GeForce 940M,Windows 10 Home,1920x1080 pixels,323.00 x 223.00 x 19.20,1.4,,
,https://i.gadgets360cdn.com/products/laptops/large/1546455240_635_acer_aspire-vx5-591g.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,Intel Core i7 7th Gen 7700HQ,8GB,No,No,Nvidia GeForce GTX 1050,Windows 10,1920x1080 pixels,389.00 x 265.50 x 28.90,2.5,6.0,
"Asus Rog Strix GL503VM-GZ248T Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546453843_635_asus_rog-strix-gl503vm-gz248t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i7 7th Gen 7700HQ,16GB,No,256GB,Nvidia GeForce GTX 1060,Windows 10 Home,1920x1080 pixels,384.00 x 262.00 x 23.00,2.6,,"₹ 145,500"
"Razer Blade Stealth RZ09-02393E31-R3U1 Laptop (16GB RAM, 256GB HDD, Intel Core i7, Gunmetal Grey, 13.3 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546454373_635_razer_stealth-blade-rz09-02393e31-r3u1.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Razer,Intel Core i7 8th Gen 8550U,16GB,256GB,No,Intel HD Graphics 620,Windows 10 Professional,3200x1800 pixels,205.74 x 320.04 x 12.70,1.35,,"₹ 225,586"
,https://i.gadgets360cdn.com/products/laptops/large/1546455586_635_acer_aspire-e-e5-573g-52g3.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,Intel Core i5 5005U,8GB,1TB,No,Nvidia GeForce 920M,Windows 10,1366x768 pixels,381.60 x 256.00 x 29.20,2.4,,
,https://i.gadgets360cdn.com/products/large/msi-modern-15db-1318x800-1573045479.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,MSI,Intel Core i5 10th Gen 10210U,8GB,,512GB,Nvidia GeForce MX250,Windows 10,1920x1080 pixels,233.70 x 356.80 x 15.90,1.6,10.0,
"HP 15Q-BU011TX Laptop (DOS, 8GB RAM, 1000GB HDD, Intel Core i5, Sparkling Black)",https://i.gadgets360cdn.com/products/laptops/large/1546454716_635_hp_imprint-15q-bu011tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i5 7th Gen 7200U,8GB,No,No,AMD Radeon 520 Graphics,DOS,1366x768 pixels,378.00 x 253.75 x 23.88,2.1,,"₹ 42,990"
"HP 14Q-BU101TU Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Black, 14.0 Inch)",https://i.gadgets360cdn.com/products/laptops/large/1546456641_635_hp_14q-bu101tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i5 8th Gen 8250U,4GB,1TB,No,Intel Integrated UHD Graphics 620,Windows 10,1366x768 pixels,340.00 x 240.00 x 23.60,1.7,,"₹ 41,980"
"Asus R541UJ-DM265 Laptop (DOS, 8GB RAM, 1000GB HDD, Intel Core i5, Silver Gradient, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546453476_635_asus_r541uj-dm265.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i5 7th Gen 7200U,8GB,No,No,Nvidia,DOS,1920x1080 pixels,381.00 x 252.00 x 27.60,1.9,4.5,"₹ 46,990"
"Acer Nitro 5 AN515-42 Laptop (Windows 10 Home, 8GB, 1000GB HDD, Ryzen 5 Quad Core, Black, 15.6 Inch)",https://i.gadgets360cdn.com/products/laptops/large/1546456029_635_acer_nitro-an515-42.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,,8GB,1TB,No,,Windows 10 Home,1920x1080 pixels,390.00 x 266.00 x 26.75,2.7,5.0,"₹ 53,990"
"Acer Aspire E E5-551-T49Z Laptop (Windows 10, 4GB RAM, 500GB HDD, AMD Obsidian Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546454186_635_acer_aspire-e-e5-551-t49z.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,AMD APU Quad Core A10 7300,8GB,500GB,No,AMD Radeon R7 M265,Linux,1366x768 pixels,381.60 x 256.00 x 30.30,2.5,7.0,"₹ 29,000"
"Asus X541UA-DM1187T Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Grey, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546453519_635_asus_vivobook-max-x541ua-dm1187t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i3 7th Gen 7100U,4GB,1TB,No,Intel Integrated HD Graphics 620,Windows 10,1920x1080 pixels,50.30 x 295.00 x 6.60,2.7,,"₹ 26,490"
"Acer Nitro 5 AN515-42-R8SH Laptop (Windows 10 Home, 8GB RAM, 1000GB HDD, AMD Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546456280_635_acer_nitro-5-an515-42-r8sh.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,,8GB,1TB,No,Nvidia GeForce GTX 1050,Windows 10 Home,1920x1080 pixels,390.00 x 266.00 x 26.75,2.7,,"₹ 54,990"
,https://i.gadgets360cdn.com/products/large/1559032041_635_dell_inspiron_7590.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Dell,Intel Core i5 9th Gen 9300H,8GB,,256GB,Nvidia GeForce GTX 1050,Windows 10,1920x1080 pixels,238.84 x 357.56 x 17.94,1.598,,
,https://gadgets.ndtv.com/static/icons/laptop_icon.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Dell,Intel Core i5 10th Gen Core i5-10210U,8GB,,512GB,Intel Integrated Graphics,Windows 10,1920x1080 pixels,215.92 x 306.76 x 15.90,1.4,,
"Asus Tuf FX504GE-E4411T Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546456424_635_asus_tuf-fx504ge-e4411t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i7 8th Gen 8300H,8GB,No,No,Nvidia GeForce GTX 1050 Ti,Windows 10,1920x1080 pixels,384.00 x 262.00 x 25.00,2.3,,"₹ 92,500"
"Asus X X540SA-XX366D Laptop (DOS, 4GB RAM, 500GB HDD, Intel Celeron, Grey, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546455386_635_asus_x-x540sa-xx366d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Celeron Dual Core 6th Gen N3060,4GB,500GB,No,Intel Integrated HD Graphics,DOS,,381.00 x 252.00 x 25.40,1.9,4.5,"₹ 20,590"
"HP 15-AU620TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Silver, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546455412_635_hp_15-au620tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i5 7th Gen 7200U,8GB,No,No,Nvidia GeForce 940MX,Windows 10 Home,1366x768 pixels,382.52 x 242.82 x 22.61,2.03,9.0,"₹ 61,654"
"Dell XPS 13 9300 Laptop (Windows 10 Home Plus, 8GB RAM, 512GB SSD, Intel Core i5, 10th Gen, Silver, 13.3 Inch)",https://i.gadgets360cdn.com/products/large/dell-xps13-db-1590x800-1578027671.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Dell,Intel Core i3 10th Gen 1005G1,4GB,,256GB,Intel Iris Plus Graphics,Windows 10,1920x1200 pixels,198.70 x 295.70 x 14.70,1.2,,"₹ 142,400"
"Asus Fx FX553VD Laptop (Linux, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546455403_635_asus_fx553vd.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i7 7th Gen 7700HQ,8GB,No,No,Nvidia GeForce GTX 1050,Linux,1920x1080 pixels,383.00 x 255.00 x 21.00,2.5,4.5,"₹ 69,991"
,https://i.gadgets360cdn.com/products/laptops/large/1546454595_635_acer_aspire-e-spire-es1-521.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,AMD APU Dual Core A4 1st Gen,4GB,1TB,No,Intel Integrated HD Graphics,Linux,1366x768 pixels,381.60 x 258.00 x 27.15,2.5,4.5,
"Asus Vivobook X507UB-EJ213T Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Champagne, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546455755_635_asus_vivobook-x507ub-ej213t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i3 6th Gen 6006U,4GB,1TB,No,Nvidia,Windows 10,1920x1080 pixels,365.00 x 266.00 x 21.90,1.68,,"₹ 32,990"
"HP Pavilion Power 15-CB053TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546454118_635_hp_pavilion-power-15-cb053tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i5 7th Gen 7300HQ,8GB,No,128GB,Nvidia GeForce GTX 1050,Windows 10 Home,1920x1080 pixels,378.00 x 252.20 x 24.13,2.27,,"₹ 69,990"
,https://i.gadgets360cdn.com/products/laptops/large/1525202059_635_vostro-14-3446.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Dell,Intel Core i3 4th Gen 4005U,4GB,500GB,No,Nvidia GeForce 820M,Windows 8.1,1366x768 pixels,346.00 x 246.00 x 25.40,,,
"Asus Vivobook S15 S510UN-BQ151T Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Gold, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546454693_635_asus_vivobook-s15-s510un-bq151t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i7 8th Gen 8550U,8GB,No,No,Nvidia GeForce MX150,Windows 10 Home,1920x1080 pixels,361.00 x 243.00 x 17.90,1.7,8.0,"₹ 69,900"
"Asus X X540YA-XO290D Laptop (DOS, 4GB RAM, 1000GB HDD, AMD Gold, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546455394_635_asus_x-x540ya-xo290d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,AMD APU Quad Core E2 7110,4GB,No,No,AMD Radeon R2,DOS,1366x768 pixels,381.00 x 252.00 x 27.20,2.0,,"₹ 21,990"
"HP Pavilion 10-N125TU Laptop (Windows 10, 2GB RAM, 500GB HDD, Intel Atom, Silver)",https://i.gadgets360cdn.com/products/laptops/large/1546455401_635_hp_pavilion-10-n125tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Atom Quad Core 5th Gen Z8300,2GB,500GB,No,Intel Integrated HD Graphics,Windows 10 Home,,264.00 x 173.00 x 24.38,1.29,11.0,"₹ 30,490"
"Asus FX553VD-DM1032T Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546453578_635_asus_fx553vd-dm1032t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i7 7th Gen 7700HQ,8GB,No,128GB,Nvidia GeForce GTX 1050,Windows 10,1920x1080 pixels,383.00 x 255.00 x 30.00,2.5,,"₹ 74,990"
,https://i.gadgets360cdn.com/products/laptops/large/1546453069_635_acer_gateway-es1-571-558z.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,Intel Core i3 4th Gen 4210Y,4GB,1TB,No,Intel Integrated HD Graphics 4400,Linux,1366x768 pixels,384.00 x 265.00 x 25.00,2.5,5.0,
"Asus X X541UA-DM883D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i3, Silver, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546455351_635_asus_x-x541ua-dm883d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i3 6th Gen 6006U,4GB,No,No,Intel Integrated HD Graphics,DOS,1920x1080 pixels,381.00 x 252.00 x 27.60,2.0,5.0,"₹ 27,500"
"Acer Aspire One S1001-19P0 Laptop (Windows 10, 2GB RAM, 32GB HDD, Intel Atom, Silver, 10.1 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546453037_635_acer_aspire-one-s1001-19p0.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,Intel Atom Quad Core 5th Gen Z3735F,2GB,32GB,No,Intel Integrated HD Graphics,Windows 10,1280x800 pixels,259.00 x 181.60 x 24.30,1.2,6.0,"₹ 14,990"
,https://i.gadgets360cdn.com/products/laptops/large/1546456263_635_acer_aspire-e-es1-132-c897.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,Intel Celeron Dual Core 4th Gen N3350,2GB,500GB,No,Intel Integrated Graphics,Windows 10,1366x768 pixels,291.00 x 211.00 x 21.20,2.0,4.0,
,https://i.gadgets360cdn.com/products/laptops/large/1546453069_635_acer_gateway-es1-571-558z.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,Intel Core i3 4th Gen 4210Y,4GB,1TB,No,Intel Integrated HD Graphics 4400,Linux,1366x768 pixels,384.00 x 265.00 x 25.00,2.5,5.0,
,https://i.gadgets360cdn.com/products/laptops/large/1525207921_635_gs63vr-stealth-pro.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,MSI,Intel Core i7 7th Gen,,1TB,No,Nvidia GeForce GTX 1060,Windows 10 Home,1920x1810 pixels,380.00 x 249.00 x 17.70,1.8,2.5,
"MSI GT75VR-TITAN-PRO Laptop (Windows 10 Pro, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 17.3 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546453612_635_msi_gt75vr-titan-pro.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,MSI,Intel Core i7 7th Gen,8GB,No,No,Nvidia GeForce GTX 1080,Windows 10 Professional,1920x1080 pixels,428.00 x 314.00 x 58.00,4.56,,"₹ 618,861"
"Asus K555LB-FI504T Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Matte Silver, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546455112_635_asus_k555lb-fi504t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i5 5th Gen 5200U,8GB,1TB,No,Nvidia GeForce 940M,Windows 10,1920x1080 pixels,382.00 x 256.00 x 25.80,2.4,4.0,"₹ 51,272"
"Asus Tuf FX504GD-RS51 Laptop (Windows 10, 2GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546455856_635_asus_tuf-fx504gd-rs51.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i5 8300H,2GB,No,No,Nvidia GeForce GTX 1050,Windows 10,1920x1080 pixels,384.00 x 262.00 x 25.00,2.3,,"₹ 85,205"
"Acer Spin 5 SP515-51GN-52B3 Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546456841_635_acer_spin-5-sp515-51gn-52b3.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,Intel Core i5 7100U,8GB,No,No,Intel Integrated HD Graphics 520,Windows 10,1920x1080 pixels,328.80 x 228.50 x 19.70,1.6,10.0,"₹ 233,907"
"Asus Vivobook Pro 15 N580VD-FI418T Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Champagne, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546456215_635_asus_vivobook-pro-15-n580vd-fi418t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i7 7th Gen 7700HQ,16GB,No,No,Nvidia GeForce GTX 1050,Windows 10,3840x2160 pixels,203.20 x 35.00 x 40.00,1.9,6.0,"₹ 99,990"
"Asus X X540YA-XO290D Laptop (DOS, 4GB RAM, 1000GB HDD, AMD Gold, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546455394_635_asus_x-x540ya-xo290d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,AMD APU Quad Core E2 7110,4GB,No,No,AMD Radeon R2,DOS,1366x768 pixels,381.00 x 252.00 x 27.20,2.0,,"₹ 21,990"
,https://i.gadgets360cdn.com/products/laptops/large/1546454888_635_acer_aspire-f-f15-f5-573g-510l.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,Intel Core i5 7th Gen 7200U,12GB,128GB,No,Nvidia GeForce 940MX,Windows 10 Home,1920x1080 pixels,381.60 x 259.00 x 28.45,2.3,6.5,
,https://i.gadgets360cdn.com/products/laptops/large/1546455243_635_asus_x540la.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i3 5005U,4GB,1TB,No,Intel Integrated HD Graphics 5500,Windows 10,1366x768 pixels,,1.9,5.0,
,https://i.gadgets360cdn.com/products/laptops/large/1546454486_635_asus_vivobook-max-x541ua-xo561t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i3 6th Gen 6100U,4GB,1TB,No,Intel Integrated HD Graphics 520,Windows 10,1366x768 pixels,381.00 x 252.00 x 27.60,2.0,,
,https://i.gadgets360cdn.com/products/large/hp-zbook-15-g6-db-1200x675-1564037109.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i5 9th Gen 9300H,64GB,2TB,2TB,Nvidia Quadro T1000,Windows 10,1920x1080 pixels,264.00 x 376.00 x 26.00,2.6,,
"Acer Aspire 5 A515-51G-53V6 Laptop (Windows 10, 8GB RAM, 256GB HDD, Intel Core i5, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546456116_635_acer_aspire-5-a515-51g-53v6.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,Intel Core i5 8250U,8GB,256GB,No,Nvidia GeForce MX150,Windows 10,1366x768 pixels,381.60 x 263.00 x 20.95,2.2,7.0,"₹ 104,578"
,https://i.gadgets360cdn.com/products/laptops/large/1546455595_635_asus_a553sa-xx174d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Pentium Dual Core 4th Gen N3700,4GB,500GB,No,Intel Integrated HD Graphics,DOS,1366x768 pixels,380.00 x 258.00 x 25.30,2.2,,
,https://i.gadgets360cdn.com/products/laptops/large/1546455678_635_asus_vivobook-r558uq-dm701d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i7 7th Gen 7500U,8GB,1TB,No,Nvidia GeForce 940MX,DOS,1920x1080 pixels,382.00 x 256.00 x 25.50,2.2,4.5,
"Acer Spin 5 SP515-51GN-52B3 Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546456841_635_acer_spin-5-sp515-51gn-52b3.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,Intel Core i5 7100U,8GB,No,No,Intel Integrated HD Graphics 520,Windows 10,1920x1080 pixels,328.80 x 228.50 x 19.70,1.6,10.0,"₹ 233,907"
"Asus Tuf FX504GE-ES52 Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546456296_635_asus_tuf-fx504ge-es52.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i5 8300H,8GB,No,No,Nvidia GeForce GTX 1050 Ti,Windows 10,1920x1080 pixels,384.00 x 262.00 x 25.00,2.3,,"₹ 113,981"
"MSI GL62M-7RD Laptop (DOS, 8GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546453027_635_msi_gl62m-7rd.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,MSI,Intel Core i7 7th Gen 7300HQ,8GB,No,No,Nvidia GeForce GTX 1050,DOS,1920x1080 pixels,383.00 x 260.00 x 29.00,2.2,,"₹ 71,800"
"Acer Aspire E E5-573-36RP Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546453705_635_acer_aspire-e-e5-573-36rp.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,Intel Core i3 5th Gen 5005U,4GB,No,No,Intel Integrated HD Graphics 5500,Windows 10 Home,,381.60 x 256.00 x 29.20,2.4,,"₹ 30,890"
,https://i.gadgets360cdn.com/products/laptops/large/1546455586_635_acer_aspire-e-e5-573g-52g3.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,Intel Core i5 5005U,8GB,1TB,No,Nvidia GeForce 920M,Windows 10,1366x768 pixels,381.60 x 256.00 x 29.20,2.4,,
,https://i.gadgets360cdn.com/products/laptops/large/1546455251_635_hp_pavilion-au111tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i5 7th Gen 7200U,8GB,1TB,No,Nvidia GeForce 940MX,Windows 10,1366x768 pixels,382.50 x 242.80 x 22.60,2.03,9.0,
"Asus Tuf FX504GE-EN224T Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546455943_635_asus_tuf-fx504ge-en224t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i7 8300H,8GB,No,No,Nvidia GeForce GTX 1050 Ti,Windows 10,1920x1080 pixels,384.00 x 262.00 x 25.00,2.3,,"₹ 72,990"
"Asus Vivobook Pro 15 N580GD-XB76T Laptop (Windows 10 Pro, 4GB RAM, 16GB HDD, Intel Core i7, Champagne, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546456289_635_asus_vivobook-pro-15-n580gd-xb76t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i7 7th Gen 8750H,4GB,No,16GB,Nvidia GeForce GTX 1050,Windows 10 Professional,3840x2160 pixels,50.80 x 257.00 x 38.10,2.27,6.0,"₹ 145,999"
,https://i.gadgets360cdn.com/products/laptops/large/1546455215_635_acer_aspire-e-es1-131-c8js.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,Intel Celeron Dual Core 4th Gen N3060,2GB,500GB,No,Intel Integrated HD Graphics,Windows 10,1366x768 pixels,291.00 x 211.00 x 21.20,1.25,5.5,
"Asus Vivobook Max X541UA-DM1358T Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Silver, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546453795_635_asus_vivobook-max-x541ua-dm1358t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i3 7th Gen 7100U,4GB,1TB,No,Intel Integrated HD Graphics 620,Windows 10,1920x1080 pixels,381.00 x 252.00 x 27.60,1.9,,"₹ 27,990"
"HP Spectre x360 13-ap0101tu Laptop (Windows 10, 16GB RAM, 512GB SSD, Intel Core i7, 8th Gen, Dark Ash Silver, 13.3 Inch)",https://i.gadgets360cdn.com/products/large/HP-Spectre-x360-13-db-main-2-800x600-1561537952.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i7 8th Gen 8565U,16GB,,512GB,Integrated Graphics Processor,Windows 10,1920x1080 pixels,217.90 x 308.80 x 14.50,1.32,,"₹ 179,990"
"MSI GF63 8RC-239IN Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546456642_635_msi_gf63-8rc-239in.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,MSI,Intel Core i7 8th Gen 8750H,8GB,No,No,Nvidia GeForce GTX 1050 Ti,Windows 10,1920x1080 pixels,359.00 x 254.00 x 21.70,1.86,7.0,"₹ 120,000"
