Brand,Model,Image,Price,RAM,Size,SSD,Colours,Operating system,Hard disk,Model Number,Processor,Graphic card,Dedicated Graphics,Finger Print Sensor,Resolution,Wi-Fi standards supported,Weight(kg),Dimensions(mm),Series,Touch Screen,Base Clock Speed,Graphics Processor,Product,Dedicated Graphics,HDMI Port,Battery life,Dedicated Graphic Memory Type,Expandable RAM up to (GB)
Asus,TUF FX504GM-E4392T,https://i.gadgets360cdn.com/products/laptops/large/1546456349_635_asus_tuf-fx504gm-e4392t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 84,990",8GB,15.60-inch,No,Black,Windows 10,No,FX504GM-E4392T,Intel Core i5 8750H,Nvidia GeForce GTX 1060,,No,1920x1080 pixels,802.11 ac,2.3,384.00 x 262.00 x 25.00,TUF,No,2.2 GHz,Nvidia GeForce GTX 1060,"Asus Tuf FX504GM-E4392T Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",,,,GDDR5,32GB
Acer,Aspire ES ES1-521-40L7,https://i.gadgets360cdn.com/products/laptops/large/1525196444_635_aspire-es-es1-521-40l7.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,4GB,15.60-inch,No,Diamond Black,Linux,1TB,ES1-521-40L7,AMD APU Dual Core A4 1st Gen,Intel Integrated Graphics,No,,1366x768 pixels,802.11 b/g/n,2.5,381.60 x 258.00 x 27.20,Aspire ES,No,1.8 GHz,Intel Integrated Graphics,,No,Standard,4.5,,16GB
Asus,VivoBook X542BA-GQ006T,https://i.gadgets360cdn.com/products/laptops/large/1546454087_635_asus_vivobook-x542ba-gq006t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 21,490",4GB,15.60-inch,No,Dark Grey,Windows 10 Home,No,X542BA-GQ006T,AMD APU Dual Core A6 9220,AMD Radeon R4,,No,1366x768 pixels,802.11 b/g/n,2.3,380.00 x 251.00 x 23.20,VivoBook,No,2.5 GHz,AMD Radeon R4,"Asus Vivobook X542BA-GQ006T Laptop (Windows 10, 4GB RAM, 1000GB HDD, AMD Matte Silver, 15.6 inch)",,,,,16GB
Acer,Predator Triton 700 PT715-51-71W9,https://i.gadgets360cdn.com/products/laptops/large/1546456207_635_acer_predator-triton-700-pt715-51-71w9.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 240,873",32GB,15.60-inch,512GB,Black,Windows 10 Home,No,Triton 700 PT715-51-71W9,Intel Core i7 7th Gen 7700HQ,Nvidia GeForce GTX 1080,,No,1920x1080 pixels,802.11 a/b/g/n/ac,2.6,393.00 x 266.00 x 18.90,Predator,No,2.8 GHz,Nvidia GeForce GTX 1080,"Acer Predator Triton 700 PT715-51-71W9 Laptop (Windows 10 Home, 32GB RAM, 512GB HDD, Intel Core i7, Black, 15.6 inch)",,,5,DDR4,32GB
Acer,Aspire A315-51,https://i.gadgets360cdn.com/products/laptops/large/1546453866_635_acer_aspire-a315-51.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 25,990",4GB,15.60-inch,No,Red,Linux,1TB,A315-51,Intel Core i3 6th Gen 6006U,Intel Integrated HD Graphics 520,No,No,1366x768 pixels,802.11 a/b/g/n/ac,2.1,381.60 x 259.00 x 21.00,Aspire,No,2 GHz,Intel Integrated HD Graphics 520,"Acer Aspire A315-51 Laptop (Linux, 4GB RAM, 1000GB HDD, Intel Core i3, Red, 15.6 inch)",No,,6.5,,12GB
Acer,Aspire A315-51,https://i.gadgets360cdn.com/products/laptops/large/1546453866_635_acer_aspire-a315-51.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 25,990",4GB,15.60-inch,No,Red,Linux,1TB,A315-51,Intel Core i3 6th Gen 6006U,Intel Integrated HD Graphics 520,No,No,1366x768 pixels,802.11 a/b/g/n/ac,2.1,381.60 x 259.00 x 21.00,Aspire,No,2 GHz,Intel Integrated HD Graphics 520,"Acer Aspire A315-51 Laptop (Linux, 4GB RAM, 1000GB HDD, Intel Core i3, Red, 15.6 inch)",No,,6.5,,12GB
HP,14-am519tu,https://i.gadgets360cdn.com/products/laptops/large/1525206189_635_14-am519tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 30,490",4GB,14.00-inch,No,Turbo Silver,Windows 10 Home,1TB,14-am519tu,Intel Core i3 6th Gen 6006U,Intel HD Graphics 520,No,,1366x768 pixels,802.11 b/g/n,1.94,345.40 x 2415.00 x 23.90,,No,2 GHz,Intel HD Graphics 520,"HP 14-AM519TU Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Black, 14 inch)",No,Standard,5,,
Asus,X540LA-XX441T,https://i.gadgets360cdn.com/products/laptops/large/1546454947_635_asus_x540la-xx441t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 31,000",4GB,15.60-inch,No,Aqua Blue,Windows 10,1TB,X540LA-XX441T,Intel Core i3 5005U,Intel Integrated HD Graphics 5500,No,No,1366x768 pixels,802.11 b/g/n,1.9,,,No,2 GHz,Intel Integrated HD Graphics 5500,"Asus X540LA-XX441T Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Aqua Blue, 15.6 inch)",No,,5,,8GB
Acer,Aspire R11,https://i.gadgets360cdn.com/products/laptops/large/1546455071_635_acer_aspire-r11.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 43,787",4GB,11.60-inch,No,White,Chrome OS,32GB,R11,Intel Celeron Dual Core 4th Gen N3700,Intel Integrated HD Graphics,No,No,1366x768 pixels,802.11 a/b/g/n/ac,1.58,298.00 x 211.00 x 20.90,Aspire,Yes,1.6 GHz,Intel Integrated HD Graphics,"Acer Premium R11 Laptop (Chrome, 4GB RAM, 32GB HDD, Intel Celeron, White, 11.6 inch)",No,Standard,8,,8GB
Acer,Predator Triton 700,https://i.gadgets360cdn.com/products/laptops/large/1546453538_635_acer_predator-triton-700.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 299,999",16GB,15.60-inch,No,Black,Windows 10 Home,No,Triton 700,Intel Core i7 7th Gen 7700HQ,Nvidia GeForce GTX 1080,,No,1920x1080 pixels,802.11 a/b/g/n/ac,2.6,393.00 x 266.00 x 18.90,Predator,No,2.8 GHz,Nvidia GeForce GTX 1080,"Acer Predator Triton 700 Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Red & Black, 15.6 inch)",,,5,GDDR5,32GB
HP,Omen 17-w250tx,https://i.gadgets360cdn.com/products/laptops/large/1525207720_635_omen-17-w250tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 169,990",16GB,17.30-inch,256GB,Black,Windows 10 Home,1TB,17-w250tx,Intel Core i7 7th Gen 7700HQ,Intel Integrated HD Graphics,No,,1920x1080 pixels,802.11 b/g/n,3.35,416.00 x 279.00 x 29.90,Omen,No,2.8 GHz,Intel Integrated HD Graphics,"HP Omen 17-W250TX Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Black, 17.3 inch)",No,Standard,,,
Dell,Inspiron 15 7572,https://i.gadgets360cdn.com/products/laptops/large/1546456423_635_dell_inspiron-7572.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 116,827",8GB,15.60-inch,128GB,"Grey, Gold",Windows 10,1TB,15 7572,Intel Core i7 8th Gen 8550U,Nvidia GeForce MX150,Yes,No,1920x1080 pixels,802.11 ac,2,19.50 x 358.16 x 246.95,Inspiron,No,1.8 GHz,Nvidia GeForce MX150,"Dell Inspiron 15 7572 Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Grey, 15.6 inch)",Yes,Standard,,,
Dell,Vostro 3558,https://i.gadgets360cdn.com/products/laptops/large/1525204205_635_vostro-3558.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 21,600",4GB,15.60-inch,No,Black,Ubuntu,1TB,3558,Intel Core i3 5th Gen 5015U,Nvidia GeForce 920M,Yes,,1366x768 pixels,802.11 b/g/n,2.19,380.00 x 260.30 x 21.70,Vostro,No,,Nvidia GeForce 920M,"Dell Vostro 3558 Laptop (Linux, 4GB RAM, 500GB HDD, Intel Pentium, Red, 15.6 inch)",Yes,Standard,4.5,DDR3,
Acer,Predator Triton 700,https://i.gadgets360cdn.com/products/laptops/large/1546453538_635_acer_predator-triton-700.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 299,999",16GB,15.60-inch,No,Black,Windows 10 Home,No,Triton 700,Intel Core i7 7th Gen 7700HQ,Nvidia GeForce GTX 1080,,No,1920x1080 pixels,802.11 a/b/g/n/ac,2.6,393.00 x 266.00 x 18.90,Predator,No,2.8 GHz,Nvidia GeForce GTX 1080,"Acer Predator Triton 700 Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Red & Black, 15.6 inch)",,,5,GDDR5,32GB
HP,Envy x360 15,https://i.gadgets360cdn.com/products/laptops/large/1546452936_635_hp_envy-x360-15.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 109,344",8GB,15.60-inch,No,Silver,Windows 10 Home,512GB,15,Intel Core i7 6th Gen 6200U,Nvidia GeForce 930M,,No,1920x1080 pixels,802.11 b/g/n,2.19,384.30 x 254.50 x 24.38,Envy x360,Yes,2.3 GHz,Nvidia GeForce 930M,"HP Envy 15 Laptop (Windows 10, 8GB RAM, 512GB HDD, Intel Core i7, Silver, 15.6 inch)",,Standard,5,DDR3,8GB
Asus,ROG Strix GL503GE-EN169T,https://i.gadgets360cdn.com/products/laptops/large/1546456306_635_asus_rog-strix-gl503ge-en169t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 80,000",8GB,15.60-inch,No,Black,Windows 10,No,GL503GE-EN169T,Intel Core i5 8th Gen 8300H,Nvidia GeForce GTX 1050 Ti,,No,1920x1080 pixels,802.11 ac,2.6,384.00 x 262.00 x 24.00,ROG Strix,No,2.3 GHz,Nvidia GeForce GTX 1050 Ti,"Asus Rog Strix GL503GE-EN169T Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",,,,GDDR5,32GB
Lenovo,ThinkPad L470,https://i.gadgets360cdn.com/products/laptops/large/1546454412_635_lenovo_thinkpad-l470.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 151,931",16GB,14.00-inch,No,Black,Windows 8,512GB,L470,Intel Core i3 7th Gen 7500,,,No,1280x720 pixels,,1.9,200.00 x 150.00 x 5.00,ThinkPad,No,2.3 GHz,,"Lenovo Thinkpad L470 Laptop (8GB RAM, 1000GB HDD, Intel Core i5, Black, 14.0 Inch)",,Standard,6,,32GB
HP,ProBook 430,https://i.gadgets360cdn.com/products/laptops/large/1525207845_635_probook-430.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 63,890",8GB,13.30-inch,No,Silver,Windows 10 Professional,1TB,430,Intel Core i5 7th Gen 7200U,Intel Integrated HD Graphics 620,No,,1366x768 pixels,802.11 b/g/n/ac,1.48,330.00 x 234.00 x 20.00,ProBook,No,2.5 GHz,Intel Integrated HD Graphics 620,"HP Probook 430 Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Silver, 13.3 inch)",No,Standard,,,
Asus,R558UQ-DM1286D,https://i.gadgets360cdn.com/products/laptops/large/1546454715_635_asus_r558uq-dm1286d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 44,845",8GB,15.60-inch,No,Glossy Dark Brown,DOS,No,R558UQ-DM1286D,Intel Core i5 7th Gen 7200U,Nvidia,,No,1920x1080 pixels,802.11 b/n/ac,2.2,382.00 x 256.00 x 25.50,R Series,No,2.5 GHz,Nvidia,"Asus R558UQ-DM1286D Laptop (DOS, 8GB RAM, 1000GB HDD, Intel Core i5, Glossy Dark Brown, 15.6 inch)",,,5,GDDR3,24GB
Asus,X550LD-XX082D,https://i.gadgets360cdn.com/products/laptops/large/1546455418_635_asus_x550ld-xx082d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 100,000",8GB,15.60-inch,No,Dark Grey,DOS,No,X550LD-XX082D,Intel Core i7 4th Gen 4500U,Nvidia GeForce 820M,,No,,802.11 b/g/n,2.52,380.00 x 251.00 x 31.70,X Series,No,1.8 GHz,Nvidia GeForce 820M,"Asus X550LD-XX082D Laptop (DOS, 8GB RAM, 1000GB HDD, Intel Core i7, Grey, 15.6 inch)",,Standard,,DDR3,
Asus,X X540SA-XX311D,https://i.gadgets360cdn.com/products/laptops/large/1546452985_635_asus_x-x540sa-xx311d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 23,500",4GB,15.60-inch,No,Black,DOS,500GB,X X540SA-XX311D,Intel Celeron Dual Core 6th Gen N3060,Intel Integrated HD Graphics,No,No,1366x768 pixels,802.11 b/g/n,1.9,381.00 x 252.00 x 25.40,X Series,No,2.48 GHz,Intel Integrated HD Graphics,"Asus X X540SA-XX311D Laptop (DOS, 4GB RAM, 500GB HDD, Intel Celeron, Grey, 15.6 inch)",No,,4.5,,4GB
Dell,Vostro 14 V3446,https://i.gadgets360cdn.com/products/laptops/large/1525202063_635_vostro-14-v3446.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,4GB,13.86-inch,No,Red,Ubuntu,500GB,V3446,Intel Core i3 4th Gen 4005U,Nvidia GeForce 820M,Yes,,1366x768 pixels,802.11 b/g/n,2.04,346.00 x 246.00 x 25.40,Vostro 14,No,1.7 GHz,Nvidia GeForce 820M,,Yes,,,DDR3,8GB
Dell,G3 15 3590,https://i.gadgets360cdn.com/products/large/dell-g3-15-3590-1400x800-1569330368.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,8GB,15.60-inch,512GB,"Eclipse Black, Alpine White",Windows 10,,3590,Intel Core i5 9th Gen Core i5-9300HQ,Nvidia GeForce GTX 1050,Yes,,1920x1080 pixels,802.11 ac,2.33,254.00 x 365.50 x 21.60,,,,Nvidia GeForce GTX 1050,,Yes,Standard,,GDDR5,32GB
Lenovo,IdeaPad 110 IP110 15ACL,https://i.gadgets360cdn.com/products/laptops/large/1525206359_635_ideapad-110-ip110-15acl.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 22,990",4GB,15.60-inch,No,Black,Windows 10 Home,500GB,IP110 15ACL,AMD APU Quad Core A6 6th Gen A6 7310,AMD Radeon R4,,,1366x768 pixels,802.11 ac,2.2,378.00 x 265.00 x 22.90,IdeaPad 110,No,2 GHz,AMD Radeon R4,"Lenovo 110-15ACL Laptop (Windows 10, 4GB RAM, 1000GB HDD, AMD Core A8, Black, 15.6 inch)",,Standard,4,,4GB
HP,Envy x360 15T,https://i.gadgets360cdn.com/products/laptops/large/1546454593_635_hp_envy-x360-15t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 99,999",2GB,15.60-inch,No,Silver,Windows 10 Home,1TB,15T,Intel Core i7 6th Gen 6500U,Nvidia GeForce 930M,,No,1920x1080 pixels,802.11 b/g/n,2.29,382.00 x 250.00 x 23.90,Envy x360,Yes,2.5 GHz,Nvidia GeForce 930M,"HP Envy X360 15T Laptop (2GB RAM, 1000GB HDD, Intel Core i7, Silver, 15.6 inch)",,Standard,5,DDR3,16GB
Dell,Latitude 3460,https://i.gadgets360cdn.com/products/laptops/large/1525204198_635_latitude-3460.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 26,000",4GB,14.00-inch,No,Black,Ubuntu,500GB,3460,Intel Core i3 5th Gen 5005u,Intel Integrated HD Graphics 5500,No,,1366x768 pixels,802.11 b/g/n,1.9,384.30 x 254.60 x 24.30,Latitude,No,2 GHz,Intel Integrated HD Graphics 5500,"Dell Latitude 3460 Laptop (DOS, 4GB RAM, 500GB HDD, Intel Core i3, Black, 14 inch)",No,,4.5,,16GB
MSI,Titan Pro GT75VR,https://i.gadgets360cdn.com/products/laptops/large/1546454734_635_msi_titan-pro-gt75vr.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 475,000",32GB,17.30-inch,256GB,Black,Windows 10 Home,No,GT75VR,Intel Core i7 6th Gen 6820HK,Nvidia GeForce GTX 1080,,No,1920x1080 pixels,802.11 b/ac,4.56,458.00 x 339.00 x 69.00,Titan Pro,No,2.7 GHz,Nvidia GeForce GTX 1080,"MSI Titan Pro GT75VR Laptop (Windows 10, 32GB RAM, 1000GB HDD, Intel Core i7, Black)",,Standard,3,GDDR5,32GB
Acer,Predator Triton 900,https://i.gadgets360cdn.com/products/large/acer-predator-triton-900-1050x800-1565090732.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,16GB,17.30-inch,1TB,Black,Windows 10 Home,,PT917-71,Intel Core i7 9th Gen Core i7,Nvidia GeForce RTX 2080 Max-Q,Yes,,3840x2160 pixels,802.11 a/b/g/n/ac,4.5,,Predator,,2600 GHz,Nvidia GeForce RTX 2080 Max-Q,,Yes,Yes,3,GDDR6,32GB
Asus,X541UA-DM1233T,https://i.gadgets360cdn.com/products/laptops/large/1525206033_635_x541ua-dm1233t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 31,990",4GB,15.60-inch,No,Black,Windows 10 Home,1TB,X541UA-DM1233T,Intel Core i3 6th Gen 6006U,,,,1920x1080 pixels,802.11 b/g/n,2,381.00 x 252.00 x 27.60,,No,2 GHz,,"Asus X541UA-DM1233T Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Black, 15.6 inch)",,Standard,,,12GB
Dell,G7 15,https://i.gadgets360cdn.com/products/large/Dell-G7-15-DB-811x800-1593004393.png?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,8GB,15.00-inch,128GB,Mineral Black,Windows 10,,7500,Intel Core i5 10th Gen i5-10300H,Nvidia GeForce GTX 1650 Ti,Yes,,1920x1080 pixels,802.11 ac,2.1,267.70 x 357.20 x 18.30,G7,,,Nvidia GeForce GTX 1650 Ti,,Yes,Yes,,GDDR6,32GB
HP,ProBook 430-G4,https://i.gadgets360cdn.com/products/laptops/large/1546452891_635_hp_probook-430-g4.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 84,990",4GB,13.30-inch,64GB,Silver,,No,430-G4,Intel Celeron Dual Core 7100U,Intel HD Graphics 620,No,No,1366x768 pixels,802.11 b/g/n,1.49,330.00 x 233.50 x 50.29,ProBook,No,2.4 GHz,Intel HD Graphics 620,"HP Probook 430-G4 Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 13.3 inch)",No,Standard,,,16GB
Asus,A555LA-XX1560D,https://i.gadgets360cdn.com/products/laptops/large/1546453469_635_asus_a555la-xx1560d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 24,947",4GB,15.60-inch,No,Brown,DOS,No,A555LA-XX1560D,Intel Core i3 4th Gen 4005U,Intel Integrated HD Graphics 4400,No,No,1366x768 pixels,802.11 b/g/n,2.3,382.00 x 256.00 x 25.80,,No,1.7 GHz,Intel Integrated HD Graphics 4400,"Asus A555LA-XX1560D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i3, Glossy Dark Brown, 15.6 inch)",No,Standard,,,
Acer,TravelMate TMP-249-0,https://i.gadgets360cdn.com/products/laptops/large/1546455894_635_acer_travelmate-tmp-249-0.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 22,000",4GB,14.00-inch,No,Black,Windows 10,500GB,TMP-249-0,Intel Pentium Dual Core 7th Gen 7200U,Nvidia GeForce 940MX,,No,1366x768 pixels,802.11 a/b/g/n/ac,2.2,381.60 x 259.00 x 23.90,TravelMate,No,2.5 GHz,Nvidia GeForce 940MX,"Acer Travel Mate TMP-249-0 Laptop (Windows 10, 4GB RAM, 500GB HDD, Intel Pentium, Black, 14.0 Inch)",,,8,GDDR5,32GB
Asus,A555LA-XX2067T,https://i.gadgets360cdn.com/products/laptops/large/1546453041_635_asus_a555la-xx2067t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 28,990",4GB,15.60-inch,No,White,Windows 10,1TB,A555LA-XX2067T,Intel Core i3 4005U,Intel Integrated HD Graphics 4400,No,No,1366x768 pixels,802.11 b/g/n,2.3,382.00 x 256.00 x 25.80,,No,1.7 GHz,Intel Integrated HD Graphics 4400,"Asus A555LA-XX2067T Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Matte White, 15.6 inch)",No,Standard,,,
Asus,X X540SA-XX311D,https://i.gadgets360cdn.com/products/laptops/large/1546452985_635_asus_x-x540sa-xx311d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 23,500",4GB,15.60-inch,No,Black,DOS,500GB,X X540SA-XX311D,Intel Celeron Dual Core 6th Gen N3060,Intel Integrated HD Graphics,No,No,1366x768 pixels,802.11 b/g/n,1.9,381.00 x 252.00 x 25.40,X Series,No,2.48 GHz,Intel Integrated HD Graphics,"Asus X X540SA-XX311D Laptop (DOS, 4GB RAM, 500GB HDD, Intel Celeron, Grey, 15.6 inch)",No,,4.5,,4GB
Asus,A555LF-XX262T-A555L,https://i.gadgets360cdn.com/products/laptops/large/1525203936_635_a555lf-xx262t-a555l.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 36,990",4GB,15.60-inch,No,Dark Brown,Windows 10 Home,1TB,A555LF-XX262T-A555L,Intel Core i3 5th Gen,Nvidia GeForce 930M,Yes,No,1366x768 pixels,802.11 b/g/n,,326.00 x 382.00 x 25.00,A Series,No,2.1 GHz,Nvidia GeForce 930M,"Asus A555LF-XX262T Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Dark Brown, 15.6 inch)",Yes,Standard,4.5,DDR3,
Asus,ROG Zephyrus G GA502,https://i.gadgets360cdn.com/products/large/asus-rog-zephyrus-g-g502a-db-1311x800-1567169287.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 79,990",32GB,15.60-inch,512GB,,,,GA502,AMD Ryzen 7 3750H,Nvidia GeForce GTX 1660 Ti,Yes,,1920x1080 pixels,802.11 ac,2.1,252.00 x 260.00 x 19.90,Zephyrus,No,2.3 GHz,Nvidia GeForce GTX 1660 Ti,"Asus ROG Zephyrus G GA502 Laptop (Window 10 Home, 15GB RAM, 512GB SSD, AMD Ryzen 7, Black, 15.6 Inch)",Yes,Standard,,GDDR6,32GB
Asus,TUF FX504GM-ES74,https://i.gadgets360cdn.com/products/laptops/large/1546456963_635_asus_tuf-fx504gm-es74.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 143,125",6GB,15.60-inch,No,Black,Windows 10 Home,No,FX504GM-ES74,Intel Core i7 8750H,Nvidia GeForce GTX 1060,,No,1920x1080 pixels,802.11 ac,2.3,384.00 x 262.00 x 25.00,TUF,No,2.2 GHz,Nvidia GeForce GTX 1060,"Asus Tuf FX504GM-ES74 Laptop (Windows 10 Home, 6GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",,,,GDDR5,32GB
Asus,F541UA-XO2230T,https://i.gadgets360cdn.com/products/laptops/large/1546456028_635_asus_f541ua-xo2230t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 34,990",4GB,15.60-inch,No,Black,Windows 10 Home,1TB,F541UA-XO2230T,Intel Core i3 6th Gen 6100U,Intel Integrated HD Graphics 520,No,No,1366x768 pixels,802.11 b/g/n,2,381.00 x 252.00 x 27.60,,No,2.3 GHz,Intel Integrated HD Graphics 520,"Asus F541UA-XO2230T Laptop (Windows 10 Home, 4GB RAM, 1TB HDD, Intel Core i3, Black, 15.6 inch)",No,,,,12GB
MSI,GV72-7RE,https://i.gadgets360cdn.com/products/laptops/large/1546453591_635_msi_gv72-7re.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 108,990",8GB,17.30-inch,128GB,Grey,Windows 10 Home,No,GV72-7RE,Intel Core i7 7th Gen 7700HQ,Nvidia GeForce GTX 1050 Ti,,No,1920x1080 pixels,802.11 ac,2.7,419.00 x 287.00 x 29.00,GL Series,No,2.8 GHz,Nvidia GeForce GTX 1050 Ti,"MSI GV72-7RE Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Grey)",,,,GDDR5,32GB
Asus,TUF FX504GD-E4021T,https://i.gadgets360cdn.com/products/laptops/large/1546456146_635_asus_tuf-fx504gd-e4021t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 59,990",8GB,15.60-inch,No,Black,Windows 10,No,FX504GD-E4021T,Intel Core i5 8th Gen 8300H,Nvidia GeForce GTX 1050,,No,1920x1080 pixels,802.11 ac,2.3,384.00 x 262.00 x 25.00,TUF,No,2.3 GHz,Nvidia GeForce GTX 1050,"Asus Tuf FX504GD-E4021T Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",,,,GDDR5,32GB
HP,Omen 17-AN009TX,https://i.gadgets360cdn.com/products/laptops/large/1546454131_635_hp_omen-17-an009tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 141,212",16GB,17.30-inch,256GB,Shadow Black,Windows 10 Home,No,17-AN009TX,Intel Core i7 7th Gen 7700HQ,Nvidia GeForce GTX 1070,,No,1920x1080 pixels,802.11 ac,3.78,422.90 x 304.00 x 33.02,Omen,No,2.8 GHz,Nvidia GeForce GTX 1070,"HP Omen 17-AN009TX Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Shadow Black, 17.3 inch)",,,,GDDR5,32GB
HP,Omen X-AP047TX,https://i.gadgets360cdn.com/products/laptops/large/1546454376_635_hp_omen-x-ap047tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 332,994",32GB,17.30-inch,No,Black,Windows 10,2TB,X-AP047TX,Intel Core i7 7th Gen 7820HK,,,No,1920x1080 pixels,802.11 ac,4.52,327.15 x 424.90 x 36.30,Omen,No,2.9 GHz,,"HP Omen X-AP047TX Laptop (Windows 10, 32GB RAM, 2000GB HDD, Intel Core i7, Black, 17.3 inch)",,Standard,,GDDR5,
Asus,VivoBook R542UQ-DM252T,https://i.gadgets360cdn.com/products/laptops/large/1546453873_635_asus_vivobook-r542uq-dm252t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 53,980",8GB,15.60-inch,No,Blue,Windows 8,1TB,R542UQ-DM252T,AMD Core i5 7200U,Nvidia GeForce 940MX,,No,1920x1080 pixels,802.11 b/g/n,1.8,380.00 x 251.00 x 23.20,VivoBook,No,2.5 GHz,Nvidia GeForce 940MX,"Asus Vivobook R542UQ-DM252T Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Gold, 15.6 inch)",,,4.5,GDDR5,
Asus,VivoBook R542UR-DM257T,https://i.gadgets360cdn.com/products/laptops/large/1546455995_635_asus_vivobook-r542ur-dm257t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 44,500",4GB,15.60-inch,No,Champagne,Windows 10,1TB,R542UR-DM257T,Intel Core i5 7th Gen 7200U,Nvidia GeForce 940MX,,No,1920x1080 pixels,802.11 b/g/n,1.8,380.00 x 251.00 x 23.20,VivoBook,No,2.5 GHz,Nvidia GeForce 940MX,"Asus Vivobook R542UR-DM257T Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Matte Gold, 15.6 inch)",,,4.5,GDDR5,24GB
