Product,Image,Brand,Processor,RAM,Hard disk,SSD,Graphic card,Operating system,Resolution,Dimensions(mm),Weight(kg),Battery life,Price
"HP 15-BA021AX Laptop (DOS, 4GB RAM, 1000GB HDD, AMD Silver, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525207787_635_pavilion-15-ba021ax.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,AMD APU Quad Core A10 7th Gen A10 9600P,4GB,1TB,No,Intel Integrated Graphics / Nvidia GeForce 940MX,DOS,1366x768 pixels,384.30 x 254.60 x 24.30,2.19,4.0,"₹ 32,490"
"HP Pavilion 15-AU009TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Silver)",https://i.gadgets360cdn.com/products/laptops/large/1525206219_635_pavilion-15-au009tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i7 6th Gen 6500U,8GB,1TB,No,Nvidia GeForce 940MX,Windows 10 Home,1920x1080 pixels,383.00 x 243.00 x 22.50,2.0,9.0,"₹ 72,249"
"Acer Travel Mate TMP259-G2-MG Laptop (Linux, 8GB RAM, 1000GB HDD, Intel Core i5, Black)",https://i.gadgets360cdn.com/products/laptops/large/1525207612_635_travelmate-p2-tmp259-g2-mg.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,Intel Core i5 7th Gen 7200U,8GB,1TB,No,Nvidia GeForce 940MX,Windows 10 Professional,1366x768 pixels,381.60 x 259.00 x 30.20,2.2,8.0,"₹ 42,900"
"HP Pavilion 15-AB522TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Silver)",https://i.gadgets360cdn.com/products/laptops/large/1525206210_635_pavilion-15-ab522tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i5 6th Gen 6200U,8GB,1TB,No,Nvidia GeForce 940M,Windows 10 Home,1366x768 pixels,384.50 x 2611.00 x 25.20,2.09,4.5,"₹ 59,190"
"HP Pavilion 15-AC179TX Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Silver)",https://i.gadgets360cdn.com/products/laptops/large/1525206224_635_pavilion-15-ac179tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i5 6th Gen I5 6200U,4GB,1TB,No,Nvidia GeForce 820M,DOS,1366x768 pixels,384.30 x 254.60 x 24.30,2.19,5.0,"₹ 43,690"
"Asus R558UQ-DM540D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Matte Golden, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525207643_635_r558uq-dm540d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i5 7th Gen 7200U,4GB,1TB,No,Nvidia GeForce 940MX,DOS,1080x1920 pixels,256.00 x 382.00 x 26.00,2.1,4.5,"₹ 40,999"
"Asus R558UQ-DM701D Laptop (DOS, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525207665_635_r558uq-dm701d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i7 7th Gen 7500U,8GB,1TB,No,Intel Integrated HD Graphics 5500,DOS,1920x1080 pixels,382.00 x 256.00 x 25.50,2.3,4.5,"₹ 51,990"
"Asus R558UF-DM175D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Gold, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525205925_635_r558uf-dm175d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i5 6th Gen 6200U,4GB,2TB,No,Nvidia GeForce 930M,Windows 10 Home,1920x1080 pixels,382.00 x 258.00 x 25.50,2.3,4.5,"₹ 44,390"
"HP 14-AC153TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Silver, 14 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525204308_635_14-ac153tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i3 5th Gen 6100U,4GB,1TB,No,AMD Radeon R5 M330,Windows 10 Home,1366x768 pixels,345.40 x 241.50 x 23.90,1.94,4.0,"₹ 35,999"
"HP Star Wars 15-AN003TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Black)",https://i.gadgets360cdn.com/products/laptops/large/1525206239_635_15-an003tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i5 6th Gen 6200U,8GB,1TB,No,Nvidia GeForce 940M,Windows 10 Home,1920x1080 pixels,384.50 x 261.10 x 25.20,2.09,4.5,"₹ 63,899"
